Last module: decoder.final_layer_norm
Model Len: 219
Per-module activation-GB to execution-time throughput (GB/s):
decoder.layers.11.activation_fn, ReLU: time=0.000048s, act=0.0625GB, throughput=1291.349754GB/s
decoder.layers.7.self_attn.out_proj, Linear: time=0.000067s, act=0.0864GB, throughput=1280.904925GB/s
decoder.layers.3.activation_fn, ReLU: time=0.000049s, act=0.0625GB, throughput=1278.751220GB/s
decoder.layers.14.activation_fn, ReLU: time=0.000049s, act=0.0625GB, throughput=1266.396135GB/s
decoder.layers.9.activation_fn, ReLU: time=0.000050s, act=0.0625GB, throughput=1260.307692GB/s
decoder.layers.5.activation_fn, ReLU: time=0.000050s, act=0.0625GB, throughput=1254.277512GB/s
decoder.layers.16.activation_fn, ReLU: time=0.000050s, act=0.0625GB, throughput=1254.277512GB/s
decoder.layers.8.activation_fn, ReLU: time=0.000050s, act=0.0625GB, throughput=1242.388626GB/s
decoder.layers.12.activation_fn, ReLU: time=0.000051s, act=0.0625GB, throughput=1230.723005GB/s
decoder.layers.13.activation_fn, ReLU: time=0.000051s, act=0.0625GB, throughput=1224.971963GB/s
decoder.layers.17.activation_fn, ReLU: time=0.000051s, act=0.0625GB, throughput=1219.274419GB/s
decoder.layers.22.activation_fn, ReLU: time=0.000051s, act=0.0625GB, throughput=1219.274419GB/s
decoder.layers.0.fc2, Linear: time=0.000077s, act=0.0938GB, throughput=1213.629630GB/s
decoder.layers.2.self_attn.q_proj, Linear: time=0.000019s, act=0.0234GB, throughput=1213.629630GB/s
decoder.layers.18.activation_fn, ReLU: time=0.000052s, act=0.0625GB, throughput=1191.563636GB/s
decoder.layers.2.self_attn.v_proj, Linear: time=0.000020s, act=0.0234GB, throughput=1184.385542GB/s
decoder.layers.23.activation_fn, ReLU: time=0.000053s, act=0.0625GB, throughput=1170.285714GB/s
decoder.layers.1.self_attn.out_proj, Linear: time=0.000074s, act=0.0864GB, throughput=1165.582295GB/s
decoder.layers.19.self_attn_layer_norm, LayerNorm: time=0.000014s, act=0.0157GB, throughput=1132.689655GB/s
decoder.layers.21.self_attn_layer_norm, LayerNorm: time=0.000014s, act=0.0157GB, throughput=1132.689655GB/s
decoder.layers.2.activation_fn, ReLU: time=0.000055s, act=0.0625GB, throughput=1129.931034GB/s
decoder.layers.19.activation_fn, ReLU: time=0.000055s, act=0.0625GB, throughput=1129.931034GB/s
decoder.layers.3.self_attn.q_proj, Linear: time=0.000021s, act=0.0234GB, throughput=1117.090909GB/s
decoder.layers.7.self_attn_layer_norm, LayerNorm: time=0.000014s, act=0.0157GB, throughput=1094.933333GB/s
decoder.layers.13.self_attn_layer_norm, LayerNorm: time=0.000014s, act=0.0157GB, throughput=1094.933333GB/s
decoder.layers.18.self_attn_layer_norm, LayerNorm: time=0.000014s, act=0.0157GB, throughput=1094.933333GB/s
decoder.layers.10.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1042.793651GB/s
decoder.layers.15.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1042.793651GB/s
decoder.layers.19.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1042.793651GB/s
decoder.layers.23.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1042.793651GB/s
decoder.layers.11.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1026.500000GB/s
decoder.layers.0.self_attn.out_proj, Linear: time=0.000085s, act=0.0864GB, throughput=1015.395221GB/s
decoder.layers.18.final_layer_norm, LayerNorm: time=0.000015s, act=0.0157GB, throughput=1010.707692GB/s
decoder.layers.7.self_attn.k_proj, Linear: time=0.000023s, act=0.0234GB, throughput=1003.102041GB/s
decoder.layers.7.activation_fn, ReLU: time=0.000063s, act=0.0625GB, throughput=996.745247GB/s
decoder.layers.21.activation_fn, ReLU: time=0.000063s, act=0.0625GB, throughput=996.745247GB/s
decoder.layers.9.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=995.393939GB/s
decoder.layers.16.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=995.393939GB/s
decoder.layers.22.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=995.393939GB/s
decoder.layers.10.self_attn_layer_norm, LayerNorm: time=0.000016s, act=0.0157GB, throughput=980.537313GB/s
